year,week,team,motion_snaps,play_action_pct,,,,,
2018,16,ari,20,0.057,,,,,
2018,16,pit,24,0.132,,,,,
2018,16,lac,30,0.171,,,,,
2018,16,sf,38,0.154,,,,,
2018,16,sea,27,0.313,,,,,
2018,16,tb,31,0.118,,,,,
2018,16,wsh,35,0.4,,,,,
2018,17,atl,49,0.326,,,,,
2018,17,bal,49,0.462,,,,,
2018,17,buf,11,0.222,,,,,
2018,17,car,41,0.484,,,,,
2018,17,chi,20,0.115,,,,,
2018,17,cin,22,0.214,,,,,
2018,17,clv,26,0.167,,,,,
2018,17,dal,24,0.208,,,24.99,,14.99
2018,17,den,28,0.224,,,PFF,FTN,NGS
2018,17,det,36,0.176,,,,,defense type: base
2018,17,gb,17,0.093,,,,,defense type:nickel
2018,17,ten,33,0.241,,,,,defense type: dime
2018,17,hou,38,0.268,,,,,db: targets against
2018,17,ind,26,0.306,,,,,
2018,17,jax,13,0.032,,,,,
2018,17,kc,31,0.37,,,,,
2018,17,lar,38,0.345,,,,,
2018,17,lv,29,0.306,,,,,
2018,17,mia,16,0.139,,,,,
2018,17,min,14,0.162,,,,,
2018,17,ne,42,0.324,,,,,
2018,17,no,26,0.417,,,,,
2018,17,nyg,19,0.333,,,,,
2018,17,nyj,27,0.25,,,,,
2018,17,phi,50,0.324,,,,,
2018,17,ari,53,0.275,,,,,
2018,17,pit,29,0.065,,,,,
2018,17,lac,32,0.28,,,,,
2018,17,sf,47,0.278,,,,,
2018,17,sea,32,0.407,,,,,
2018,17,tb,29,0.194,,,,,
2018,17,wsh,19,0.156,,,,,
2019,1,atl,30,0.24,,,,,
2019,1,bal,47,0.481,,,,,
2019,1,buf,18,0,,,,,
2019,1,car,38,0.293,,,,,
2019,1,chi,27,0.14,,,,,
2019,1,cin,27,0.393,,,,,
2019,1,clv,17,0.186,,,,,
2019,1,dal,44,0.5,,,,,
2019,1,den,33,0.118,,,,,
2019,1,det,41,0.208,,,,,
2019,1,gb,27,0.2,,,,,
2019,1,ten,38,0.464,,,,,
2019,1,hou,34,0.278,,,,,
2019,1,ind,32,0.241,,,,,
2019,1,jax,14,0.206,,,,,
2019,1,kc,34,0.5,,,,,
2019,1,lar,36,0.3,,,,,
2019,1,lv,26,0.231,,,,,
2019,1,mia,22,0.257,,,,,
2019,1,min,33,0.455,,,,,
2019,1,ne,48,0.342,,,,,
2019,1,no,23,0.068,,,,,
2019,1,nyg,24,0.306,,,,,
2019,1,nyj,19,0.156,,,,,
2019,1,phi,42,0.325,,,,,
2019,1,ari,26,0.136,,,,,
2019,1,pit,22,0.021,,,,,
2019,1,lac,47,0.342,,,,,
2019,1,sf,46,0.357,,,,,
2019,1,sea,27,0.333,,,,,
2019,1,tb,40,0.282,,,,,
2019,1,wsh,26,0.244,,,,,
2019,2,atl,24,0.227,,,,,
2019,2,bal,58,0.385,,,,,
2019,2,buf,32,0.242,,,,,
2019,2,car,45,0.389,,,,,
2019,2,chi,18,0.333,,,,,
2019,2,cin,37,0.261,,,,,
2019,2,clv,27,0.211,,,,,
2019,2,dal,48,0.387,,,,,
2019,2,den,45,0.173,,,,,
2019,2,det,17,0.367,,,,,
2019,2,gb,38,0.306,,,,,
2019,2,ten,42,0.344,,,,,
2019,2,hou,43,0.333,,,,,
2019,2,ind,29,0.387,,,,,
2019,2,jax,7,0.135,,,,,
2019,2,kc,49,0.37,,,,,
2019,2,lar,27,0.387,,,,,
2019,2,lv,25,0.22,,,,,
2019,2,mia,26,0.239,,,,,
2019,2,min,29,0.273,,,,,
2019,2,ne,48,0.233,,,,,
2019,2,no,25,0.081,,,,,
2019,2,nyg,27,0.217,,,,,
2019,2,nyj,19,0.257,,,,,
2019,2,phi,27,0.098,,,,,
2019,2,ari,19,0.256,,,,,
2019,2,pit,25,0.229,,,,,
2019,2,lac,53,0.459,,,,,
2019,2,sf,52,0.385,,,,,
2019,2,sea,36,0.051,,,,,
2019,2,tb,36,0.25,,,,,
2019,2,wsh,33,0.132,,,,,
2019,3,atl,31,0.235,,,,,
2019,3,bal,45,0.239,,,,,
2019,3,buf,40,0.27,,,,,
2019,3,car,40,0.357,,,,,
2019,3,chi,20,0.265,,,,,
2019,3,cin,31,0.263,,,,,
2019,3,clv,21,0.308,,,,,
2019,3,dal,42,0.333,,,,,
2019,3,den,32,0.086,,,,,
2019,3,det,27,0.344,,,,,
2019,3,gb,23,0.345,,,,,
2019,3,ten,52,0.265,,,,,
2019,3,hou,35,0.25,,,,,
2019,3,ind,29,0.421,,,,,
2019,3,jax,20,0.133,,,,,
2019,3,kc,42,0.421,,,,,
2019,3,lar,31,0.45,,,,,
2019,3,lv,19,0.237,,,,,
2019,3,mia,24,0.25,,,,,
2019,3,min,32,0.429,,,,,
2019,3,ne,56,0.304,,,,,
2019,3,no,18,0.148,,,,,
2019,3,nyg,27,0.195,,,,,
2019,3,nyj,20,0.259,,,,,
2019,3,phi,26,0.154,,,,,
2019,3,ari,21,0.157,,,,,
2019,3,pit,35,0.241,,,,,
2019,3,lac,42,0.235,,,,,
2019,3,sf,61,0.455,,,,,
2019,3,sea,26,0.14,,,,,
2019,3,tb,39,0.171,,,,,
2019,3,wsh,20,0.298,,,,,
2019,4,atl,42,0.241,,,,,
2019,4,bal,39,0.237,,,,,
2019,4,buf,21,0.122,,,,,
2019,4,car,44,0.27,,,,,
2019,4,chi,31,0.206,,,,,
2019,4,cin,32,0.2,,,,,
2019,4,clv,31,0.219,,,,,
2019,4,dal,37,0.206,,,,,
2019,4,den,34,0.237,,,,,
2019,4,det,50,0.211,,,,,
2019,4,gb,22,0.13,,,,,
2019,4,ten,48,0.407,,,,,
2019,4,hou,33,0.15,,,,,
2019,4,ind,28,0.239,,,,,
2019,4,jax,25,0.211,,,,,
2019,4,kc,51,0.238,,,,,
2019,4,lar,37,0.114,,,,,
2019,4,lv,30,0.281,,,,,
2019,4,mia,22,0.034,,,,,
2019,4,min,10,0.119,,,,,
2019,4,ne,46,0.179,,,,,
2019,4,no,31,0.229,,,,,
2019,4,nyg,36,0.258,,,,,
2019,4,phi,25,0.444,,,,,
2019,4,ari,10,0.222,,,,,
2019,4,pit,35,0.258,,,,,
2019,4,lac,48,0.344,,,,,
2019,4,sea,35,0.281,,,,,
2019,4,tb,36,0.256,,,,,
2019,4,wsh,19,0.29,,,,,
2019,5,atl,21,0.104,,,,,
2019,5,bal,52,0.121,,,,,
2019,5,buf,16,0.333,,,,,
2019,5,car,42,0.235,,,,,
2019,5,chi,23,0.176,,,,,
2019,5,cin,23,0.256,,,,,
2019,5,clv,28,0.393,,,,,
2019,5,dal,41,0.17,,,,,
2019,5,den,30,0.174,,,,,
2019,5,gb,31,0.194,,,,,
2019,5,ten,40,0.296,,,,,
2019,5,hou,20,0.273,,,,,
2019,5,ind,34,0.414,,,,,
2019,5,jax,33,0.13,,,,,
